ID,Customer_ID,Month,Name,Age,SSN,Job,Marital,Education,Default,Balance,Housing,Loan,Contact,Day,Duration,Campaign,Pdays,Previous,Poutcome,Loan_Approval
1.0,83072.0,jun,Steven Henry,35.0,422-93-8186,services,divorced,secondary,yes,6023.0,no,yes,cellular,8.0,394.0,6.0,71.0,0.0,success,no
2.0,21648.0,jun,Kimberly Stevenson,30.0,582-65-8807,services,married,tertiary,yes,3168.0,no,yes,,21.0,404.0,2.0,271.0,5.0,failure,no
3.0,82508.0,mar,Joshua Schwartz,71.0,537-28-4019,technician,divorced,tertiary,yes,292714.0,yes,yes,telephone,4.0,5580.0,60.0,738.0,3.0,success,no
4.0,17798.0,jan,Holly King,63.0,002-07-0656,services,single,secondary,yes,12893.0,no,yes,cellular,21.0,331.0,3.0,124.0,,unknown,no
5.0,75835.0,apr,Scott Jenkins,71.0,007-70-4797,self-employed,single,primary,yes,-1130.0,no,no,cellular,29.0,179.0,1.0,85.0,0.0,failure,no
6.0,25362.0,aug,Alexa Davis,87.0,668-86-9704,blue-collar,married,primary,yes,16631.0,yes,yes,cellular,3.0,471.0,7.0,351.0,4.0,success,no
7.0,68280.0,oct,Patrick Simmons,24.0,471-78-6713,management,single,primary,yes,13807.0,no,yes,telephone,16.0,89.0,8.0,121.0,4.0,failure,no
8.0,42973.0,oct,Ryan Williamson,58.0,,self-employed,married,secondary,yes,14527.0,no,no,cellular,24.0,461.0,3.0,388.0,0.0,success,no
9.0,,mar,Erica Ramirez,74.0,,services,married,tertiary,no,7945.0,yes,yes,cellular,23.0,316.0,6.0,383.0,3.0,failure,yes
10.0,98089.0,sep,Marissa Spears,31.0,811-39-0322,management,married,secondary,yes,,no,no,cellular,1.0,55.0,4.0,,6.0,success,no
11.0,89956.0,sep,Ian Myers,46.0,701-57-1006,unknown,single,tertiary,yes,-2076.0,no,yes,cellular,9.0,333.0,5.0,336.0,1.0,success,yes
12.0,,dec,Jeremy Turner,27.0,463-81-3567,unknown,married,secondary,yes,2709.0,no,no,telephone,30.0,,2.0,146.0,6.0,success,no
13.0,26907.0,jun,Lisa Day,73.0,613-74-9888,,married,secondary,yes,-2236.0,no,no,cellular,3.0,224.0,5.0,465.0,4.0,success,yes
14.0,93944.0,sep,Alicia Lee,68.0,637-62-7758,student,single,tertiary,yes,13207.0,no,no,cellular,18.0,139.0,7.0,458.0,5.0,failure,no
15.0,48002.0,dec,Angel White,19.0,196-60-6472,blue-collar,married,tertiary,yes,12750.0,yes,yes,cellular,23.0,363.0,7.0,372.0,1.0,success,no
16.0,73995.0,dec,Mary Cuevas,41.0,474-23-6324,student,married,primary,yes,-2584.0,no,yes,cellular,14.0,5775.0,90.0,6228.0,4.0,success,no
17.0,71666.0,sep,Tiffany Lewis,53.0,027-75-6571,management,single,secondary,,16387.0,no,no,cellular,15.0,124.0,6.0,74.0,6.0,failure,no
18.0,12275.0,apr,Glenn Anderson,63.0,853-45-9288,services,married,tertiary,no,19240.0,no,yes,cellular,26.0,,6.0,232.0,4.0,success,no
19.0,43466.0,apr,Jennifer Thompson,20.0,678-82-0239,blue-collar,divorced,secondary,yes,19395.0,no,no,,16.0,146.0,6.0,248.0,8.0,success,yes
20.0,43693.0,,Joseph Griffin,28.0,163-68-5735,blue-collar,married,secondary,yes,1782.0,yes,yes,cellular,26.0,472.0,6.0,105.0,4.0,success,
21.0,50894.0,jun,John Dixon,81.0,396-21-4558,services,single,tertiary,yes,19904.0,yes,yes,cellular,17.0,394.0,3.0,409.0,8.0,failure,no
,84442.0,mar,Scott Vance,27.0,541-92-5284,technician,married,primary,yes,-845.0,yes,yes,,29.0,120.0,2.0,68.0,8.0,failure,no
23.0,33725.0,jul,Adam Brown,77.0,772-90-7886,blue-collar,single,secondary,,19203.0,no,yes,cellular,6.0,110.0,3.0,199.0,3.0,,no
24.0,31466.0,dec,James Griffin,28.0,042-64-4752,technician,married,secondary,yes,6095.0,no,no,cellular,1.0,305.0,5.0,391.0,1.0,success,no
25.0,99971.0,mar,Christopher Phillips,83.0,525-09-4106,technician,married,tertiary,yes,17665.0,no,yes,cellular,9.0,303.0,6.0,303.0,0.0,,no
26.0,15954.0,nov,David Todd,43.0,223-37-0718,services,married,tertiary,yes,5310.0,no,yes,cellular,9.0,104.0,6.0,68.0,4.0,success,no
27.0,,aug,Marcus Hernandez,78.0,775-11-0732,technician,married,secondary,yes,15890.0,no,yes,cellular,5.0,159.0,8.0,304.0,3.0,success,no
28.0,76144.0,,Daniel Burns,23.0,495-80-3542,blue-collar,single,unknown,yes,1079.0,no,yes,cellular,12.0,87.0,4.0,261.0,7.0,success,no
29.0,24406.0,dec,Grant Mejia,44.0,264-82-0184,management,married,tertiary,yes,3994.0,no,yes,cellular,2.0,321.0,4.0,360.0,8.0,success,no
30.0,30192.0,jul,Dr. Douglas Spence,21.0,002-16-3022,technician,single,primary,yes,10652.0,no,no,cellular,25.0,402.0,7.0,160.0,6.0,success,no
31.0,91743.0,jul,Katherine Vargas,50.0,887-13-6726,blue-collar,married,tertiary,,4762.0,no,yes,cellular,31.0,494.0,4.0,110.0,3.0,failure,no
32.0,72597.0,mar,Jordan Jones,27.0,043-71-5150,blue-collar,married,primary,yes,11509.0,yes,yes,cellular,25.0,353.0,7.0,385.0,6.0,failure,no
33.0,97608.0,nov,Stephen Wheeler,63.0,,services,married,secondary,yes,,yes,yes,cellular,12.0,406.0,2.0,301.0,1.0,success,no
34.0,,aug,Kathleen Ferguson,73.0,161-54-6596,entrepreneur,married,tertiary,yes,4117.0,no,yes,cellular,26.0,106.0,6.0,,4.0,success,yes
35.0,66261.0,dec,Adriana Chandler,72.0,831-62-9733,services,single,tertiary,yes,10178.0,yes,yes,telephone,2.0,60.0,5.0,357.0,8.0,success,
36.0,17747.0,dec,Douglas Cox,30.0,390-81-0068,blue-collar,single,tertiary,yes,4667.0,no,yes,cellular,22.0,224.0,2.0,118.0,8.0,,no
37.0,61135.0,jun,Michael Wright,49.0,714-67-3538,technician,single,primary,yes,16772.0,yes,yes,,7.0,108.0,9.0,466.0,0.0,success,no
38.0,25609.0,jul,Donna Curtis,43.0,895-35-1701,blue-collar,married,primary,yes,16386.0,no,yes,,14.0,246.0,6.0,309.0,5.0,failure,no
39.0,71205.0,aug,Charles Stevens,,819-97-2958,technician,married,primary,no,13082.0,no,yes,cellular,24.0,353.0,4.0,,,unknown,no
40.0,42432.0,nov,Chad Williamson,39.0,868-45-2904,technician,single,tertiary,yes,6837.0,yes,yes,,1.0,416.0,4.0,21.0,4.0,success,yes
,53791.0,,Ruben Bates,60.0,797-69-7613,unemployed,married,secondary,yes,1648.0,no,yes,telephone,27.0,327.0,7.0,190.0,8.0,failure,no
42.0,93930.0,mar,Daniel Fisher,79.0,206-83-9247,,married,tertiary,yes,14736.0,yes,no,telephone,3.0,403.0,2.0,408.0,8.0,unknown,no
43.0,94316.0,apr,Alejandro Henderson,19.0,170-05-0760,blue-collar,married,tertiary,,17.0,no,yes,cellular,21.0,372.0,3.0,160.0,2.0,success,no
44.0,88041.0,apr,Amy Flowers,33.0,171-82-2082,services,married,primary,yes,458.0,no,yes,telephone,2.0,191.0,5.0,-1.0,0.0,success,no
45.0,38519.0,oct,Matthew Bell,34.0,134-19-0159,admin.,married,,yes,4104.0,no,,cellular,23.0,95.0,9.0,107.0,1.0,success,no
46.0,96601.0,jul,Jennifer Calderon,21.0,868-11-3086,retired,single,tertiary,,5706.0,no,yes,cellular,17.0,433.0,2.0,343.0,7.0,success,no
47.0,60555.0,jun,Mrs. Paula Strickland,36.0,216-78-7469,blue-collar,single,primary,yes,6383.0,yes,yes,cellular,8.0,371.0,4.0,69.0,5.0,success,yes
,30479.0,,Kevin Baxter,50.0,,management,divorced,tertiary,yes,5935.0,yes,yes,cellular,5.0,143.0,4.0,175.0,5.0,failure,no
49.0,31127.0,jul,James Garza,24.0,354-13-1268,management,married,secondary,yes,3838.0,yes,yes,cellular,12.0,220.0,8.0,355.0,9.0,success,yes
50.0,64344.0,dec,Wendy Garrett,59.0,646-17-9364,admin.,single,tertiary,no,-2328.0,no,yes,cellular,11.0,,2.0,283.0,1.0,failure,no
51.0,70415.0,feb,Carrie Cline,71.0,750-64-4668,blue-collar,married,tertiary,yes,13111.0,no,yes,,2.0,426.0,8.0,177.0,2.0,failure,yes
52.0,29421.0,jan,Jon Davis,75.0,414-07-3665,services,single,primary,yes,3597.0,yes,yes,telephone,3.0,187.0,4.0,494.0,8.0,success,no
53.0,58441.0,jun,Christopher Roman,49.0,374-54-3756,,single,tertiary,no,14955.0,yes,yes,cellular,20.0,,6.0,52.0,9.0,success,no
54.0,78743.0,apr,Madison James,84.0,168-88-4975,blue-collar,divorced,tertiary,yes,1854.0,yes,yes,cellular,24.0,119.0,2.0,83.0,8.0,failure,no
55.0,90954.0,jan,Denise Gonzalez,19.0,,technician,married,tertiary,yes,17891.0,no,yes,telephone,26.0,239.0,8.0,166.0,,success,no
56.0,85363.0,oct,Andrea Wilson,63.0,504-55-5523,blue-collar,married,primary,yes,11701.0,no,yes,telephone,7.0,372.0,1.0,293.0,3.0,failure,no
57.0,42827.0,apr,Paula Lopez,22.0,224-60-4420,management,married,tertiary,yes,14894.0,no,no,cellular,30.0,345.0,4.0,,9.0,success,yes
58.0,20379.0,sep,Lauren Lee,50.0,755-13-4145,admin.,single,secondary,yes,18417.0,yes,no,,16.0,175.0,9.0,83.0,6.0,failure,no
59.0,80875.0,nov,Alexandra Young,72.0,183-19-3042,services,married,tertiary,yes,84170.0,yes,yes,,15.0,3705.0,30.0,2016.0,8.0,success,no
60.0,42454.0,aug,Jonathan Haley,41.0,482-31-3920,services,married,secondary,yes,17773.0,no,yes,telephone,22.0,256.0,3.0,477.0,6.0,success,no
61.0,92241.0,jun,Christopher Thompson,41.0,334-17-8838,self-employed,married,secondary,yes,2978.0,no,yes,telephone,29.0,346.0,4.0,4.0,8.0,success,no
62.0,61238.0,aug,Rebecca Sparks,42.0,627-75-5739,entrepreneur,divorced,primary,yes,-1904.0,yes,yes,cellular,8.0,404.0,7.0,132.0,5.0,success,no
63.0,33140.0,apr,Ricky Chambers,72.0,054-73-7207,blue-collar,married,secondary,yes,11254.0,no,yes,cellular,14.0,58.0,6.0,19.0,3.0,failure,no
64.0,68648.0,mar,Peter Gibson,48.0,585-27-3898,blue-collar,married,tertiary,yes,765.0,no,no,,8.0,410.0,8.0,82.0,1.0,failure,no
65.0,47337.0,oct,Jonathan Franklin,46.0,517-93-8575,unemployed,married,tertiary,yes,10012.0,yes,yes,,24.0,443.0,2.0,434.0,0.0,success,yes
66.0,41136.0,feb,Regina Ward,29.0,,services,married,secondary,yes,34599.0,no,yes,cellular,27.0,1620.0,20.0,1422.0,9.0,unknown,no
67.0,38191.0,jul,Michele Hall,61.0,710-75-5511,blue-collar,married,primary,yes,10872.0,no,yes,cellular,21.0,54.0,9.0,156.0,5.0,failure,yes
,96466.0,sep,Stacey Martin,70.0,070-72-2355,blue-collar,divorced,secondary,no,14181.0,no,no,,23.0,73.0,4.0,457.0,0.0,failure,no
69.0,85009.0,nov,Reginald Walker,50.0,732-61-8079,unemployed,divorced,tertiary,no,19289.0,no,yes,cellular,3.0,374.0,5.0,432.0,4.0,failure,yes
70.0,95343.0,feb,Richard Williams,24.0,106-55-2130,blue-collar,married,secondary,yes,1423.0,yes,no,cellular,9.0,450.0,2.0,320.0,7.0,success,no
,80610.0,sep,Scott Davis,41.0,472-79-6218,unemployed,married,tertiary,yes,,yes,yes,cellular,6.0,196.0,9.0,29.0,3.0,failure,yes
72.0,94394.0,jun,Ashley Brady,34.0,800-64-1554,unemployed,married,secondary,yes,14788.0,no,no,cellular,29.0,295.0,5.0,412.0,3.0,success,no
,52810.0,dec,John Thompson,59.0,777-83-0487,,single,secondary,yes,525.0,yes,no,cellular,7.0,173.0,6.0,295.0,8.0,success,no
74.0,84759.0,apr,Destiny Mullen,38.0,559-53-9431,entrepreneur,married,secondary,no,11392.0,yes,yes,cellular,5.0,76.0,4.0,375.0,0.0,success,no
75.0,,feb,Jason Walsh,75.0,717-11-9011,management,divorced,secondary,yes,3984.0,no,yes,cellular,5.0,121.0,2.0,76.0,2.0,success,no
76.0,25894.0,jul,Elijah House,27.0,,blue-collar,single,secondary,yes,9378.0,no,no,cellular,27.0,168.0,7.0,185.0,6.0,failure,no
77.0,90179.0,jan,Victoria Bridges,64.0,693-05-5472,technician,married,secondary,yes,-1206.0,yes,yes,cellular,29.0,262.0,1.0,57.0,1.0,failure,no
78.0,66713.0,apr,Melissa Gilmore,34.0,729-22-8281,technician,married,secondary,no,1524.0,no,yes,cellular,24.0,434.0,9.0,377.0,6.0,failure,yes
79.0,61823.0,aug,Vanessa Alvarado,77.0,631-15-3185,blue-collar,married,primary,yes,86.0,no,yes,cellular,17.0,159.0,6.0,345.0,3.0,unknown,no
80.0,72981.0,mar,Teresa Dixon,66.0,705-80-7846,blue-collar,married,tertiary,,13920.0,no,yes,cellular,2.0,258.0,8.0,353.0,5.0,unknown,no
81.0,89984.0,dec,Mr. Randy Baxter,23.0,124-75-3304,admin.,married,tertiary,yes,-2367.0,yes,yes,cellular,7.0,472.0,9.0,393.0,4.0,success,no
82.0,58259.0,mar,Sharon Hatfield,32.0,400-72-4091,blue-collar,single,tertiary,yes,-3040.0,no,yes,cellular,6.0,304.0,8.0,284.0,1.0,success,no
83.0,13528.0,,Nicole Palmer,50.0,490-45-3184,retired,divorced,tertiary,yes,,yes,no,cellular,28.0,389.0,7.0,442.0,2.0,success,no
84.0,22660.0,sep,Lisa Green,44.0,731-61-9472,services,married,tertiary,yes,5058.0,no,yes,telephone,19.0,466.0,9.0,190.0,,success,no
85.0,58459.0,jun,Emily Johnston,30.0,523-06-9543,,single,secondary,yes,9453.0,no,yes,,24.0,256.0,7.0,311.0,9.0,success,no
86.0,94397.0,jan,Shannon Butler,76.0,558-56-3313,services,married,secondary,yes,245689.0,yes,yes,cellular,21.0,4605.0,50.0,8370.0,9.0,success,yes
87.0,46896.0,jun,Carolyn Navarro,38.0,586-69-1807,blue-collar,single,secondary,yes,-1141.0,no,yes,,7.0,84.0,8.0,24.0,7.0,success,no
88.0,24642.0,apr,Sheila Guerrero,72.0,394-89-0978,blue-collar,divorced,tertiary,no,15114.0,no,yes,telephone,21.0,56.0,1.0,186.0,6.0,failure,no
89.0,90811.0,oct,Richard Morales,29.0,385-26-3866,services,divorced,unknown,yes,6887.0,no,yes,cellular,26.0,345.0,,73.0,2.0,success,no
90.0,37863.0,dec,Jennifer Olson,30.0,093-83-3139,retired,single,primary,yes,17958.0,no,yes,telephone,13.0,284.0,2.0,415.0,4.0,failure,no
91.0,31133.0,jul,Kelly Thomas,75.0,647-49-2439,unemployed,married,tertiary,yes,9783.0,no,yes,cellular,5.0,139.0,8.0,393.0,3.0,success,yes
92.0,15742.0,jun,Holly Henry,46.0,740-58-6006,blue-collar,married,secondary,yes,18246.0,yes,yes,cellular,14.0,,2.0,342.0,1.0,success,no
93.0,93314.0,jun,Timothy Woodard,45.0,593-52-2084,retired,married,unknown,yes,13911.0,yes,yes,cellular,24.0,,2.0,314.0,5.0,success,no
,32384.0,sep,Linda Thompson,47.0,178-05-7068,management,single,tertiary,yes,15446.0,no,no,,26.0,,4.0,113.0,9.0,failure,no
95.0,24084.0,jan,Richard Hawkins,,255-65-6412,blue-collar,divorced,unknown,yes,15298.0,yes,no,,8.0,,4.0,268.0,8.0,success,no
96.0,98751.0,jul,Kelly Shepard,78.0,797-35-7590,blue-collar,married,,yes,4051.0,yes,yes,cellular,19.0,315.0,5.0,14.0,3.0,failure,no
97.0,13713.0,mar,Melissa Harrison,79.0,703-27-6158,blue-collar,married,primary,yes,349049.0,no,yes,cellular,13.0,4725.0,10.0,3078.0,7.0,success,yes
98.0,50818.0,,Luis Jackson,69.0,887-11-4589,services,divorced,primary,yes,5482.0,no,yes,cellular,24.0,253.0,4.0,107.0,4.0,failure,yes
99.0,41085.0,jan,Cassidy Chavez,67.0,398-61-4967,services,divorced,primary,yes,257697.0,yes,yes,cellular,8.0,4530.0,30.0,6426.0,9.0,success,no
100.0,24438.0,dec,Lisa Hawkins MD,55.0,484-35-1605,unknown,single,tertiary,yes,11405.0,no,no,cellular,12.0,50.0,7.0,,4.0,failure,no
101.0,99699.0,may,Jeanne Santiago,78.0,485-64-6838,self-employed,married,tertiary,no,9654.0,no,,telephone,11.0,245.0,5.0,127.0,8.0,,no
102.0,51628.0,aug,Bradley Casey,37.0,803-22-3095,blue-collar,single,,yes,-1305.0,yes,yes,telephone,9.0,161.0,2.0,422.0,6.0,failure,no
103.0,18528.0,may,Diane Vaughn,,530-44-9287,blue-collar,married,tertiary,yes,12305.0,no,yes,cellular,2.0,185.0,6.0,339.0,8.0,success,no
,11075.0,jan,Mary Perez,61.0,308-97-8578,blue-collar,married,secondary,yes,17516.0,yes,yes,cellular,11.0,418.0,8.0,174.0,3.0,success,no
105.0,35857.0,jul,Denise Johnson,40.0,175-82-3100,blue-collar,married,tertiary,yes,101.0,no,yes,cellular,26.0,193.0,3.0,167.0,2.0,failure,no
106.0,25028.0,aug,Samantha Turner,35.0,655-23-7938,blue-collar,married,secondary,yes,8000.0,no,,cellular,3.0,170.0,7.0,86.0,1.0,failure,no
,99160.0,mar,Christopher Villarreal,70.0,213-11-3335,blue-collar,single,primary,yes,5345.0,yes,yes,cellular,29.0,364.0,9.0,318.0,0.0,success,yes
108.0,59775.0,nov,Neil Davenport,50.0,469-08-6772,blue-collar,married,primary,yes,16654.0,yes,no,telephone,16.0,63.0,8.0,181.0,3.0,failure,no
109.0,23759.0,dec,Bonnie Gibson,26.0,841-34-9744,admin.,married,tertiary,yes,1979.0,no,no,telephone,1.0,390.0,8.0,48.0,7.0,success,no
110.0,44144.0,,Nicholas Davila,37.0,755-15-4586,services,,unknown,yes,3740.0,yes,yes,cellular,18.0,,1.0,393.0,7.0,success,no
111.0,72446.0,dec,Garrett Zuniga,49.0,735-35-0394,technician,married,tertiary,yes,3872.0,yes,yes,,3.0,225.0,6.0,340.0,2.0,failure,no
112.0,20580.0,nov,Lauren Dyer,47.0,190-84-3984,services,single,secondary,yes,17585.0,no,yes,cellular,6.0,53.0,2.0,22.0,1.0,unknown,no
113.0,64967.0,nov,Thomas Frazier,62.0,642-71-6223,services,divorced,secondary,yes,897.0,,no,,13.0,484.0,9.0,474.0,8.0,success,no
114.0,,sep,Christopher Strickland,83.0,439-25-1573,retired,single,unknown,yes,-3042.0,no,yes,telephone,11.0,,7.0,-1.0,3.0,failure,no
115.0,99616.0,mar,Christine Reynolds,36.0,150-79-9786,retired,married,secondary,yes,2627.0,no,no,cellular,12.0,254.0,1.0,198.0,7.0,success,no
116.0,99090.0,jan,Katelyn Mann,51.0,,blue-collar,married,secondary,yes,3164.0,no,yes,telephone,2.0,153.0,1.0,231.0,5.0,success,no
117.0,74827.0,oct,Joseph Johnson,26.0,441-22-0300,blue-collar,married,secondary,yes,12016.0,no,no,telephone,1.0,97.0,3.0,208.0,7.0,success,no
,19303.0,jan,Andrea Banks,,469-41-6578,blue-collar,married,primary,yes,17288.0,no,yes,cellular,1.0,462.0,1.0,64.0,2.0,failure,no
119.0,44606.0,jan,Daniel Rubio,39.0,,retired,married,primary,yes,16738.0,no,yes,cellular,25.0,264.0,3.0,484.0,6.0,success,no
120.0,31771.0,jul,Erin Miller,44.0,896-92-0500,blue-collar,married,primary,yes,5340.0,no,no,telephone,,166.0,,332.0,6.0,success,no
