ID,Customer_ID,Month,Name,Age,SSN,Job,Marital,Education,Default,Balance,Housing,Loan,Contact,Day,Duration,Campaign,Pdays,Previous,Poutcome,Loan_Approval
1.0,58253.0,oct,Taylor Wallace,76.0,678-11-7287,admin.,married,tertiary,yes,13833.0,yes,yes,cellular,12.0,297.0,2.0,339.0,8.0,success,yes
2.0,45258.0,aug,Jacqueline Woods,45.0,,management,single,secondary,yes,5559.0,no,no,cellular,25.0,94.0,9.0,194.0,3.0,success,yes
3.0,23147.0,sep,Timothy Valenzuela,69.0,326-02-5624,services,single,primary,yes,734.0,no,no,cellular,16.0,368.0,9.0,228.0,3.0,success,yes
4.0,93464.0,sep,,35.0,,blue-collar,married,secondary,yes,6958.0,yes,no,cellular,18.0,487.0,3.0,72.0,9.0,failure,yes
5.0,72683.0,oct,Stephen Jensen,81.0,103-81-9500,blue-collar,divorced,secondary,yes,-749.0,yes,no,telephone,11.0,313.0,1.0,482.0,7.0,success,yes
6.0,13270.0,apr,Emma Cooper,65.0,671-69-5233,blue-collar,single,secondary,no,2701.0,no,no,,4.0,311.0,9.0,105.0,4.0,success,yes
7.0,46777.0,sep,Catherine Keith,37.0,606-12-2057,unknown,married,tertiary,no,-979.0,no,yes,cellular,23.0,266.0,2.0,495.0,2.0,success,no
8.0,,sep,Jose Goodman,23.0,755-01-4418,entrepreneur,single,primary,no,2138.0,no,yes,cellular,4.0,465.0,8.0,85.0,8.0,failure,no
9.0,35339.0,sep,David Gibson,22.0,333-24-6673,housemaid,married,,,1621.0,no,yes,unknown,27.0,330.0,4.0,196.0,1.0,success,no
10.0,54407.0,oct,Brian Patterson,75.0,097-68-2690,unknown,single,secondary,yes,12659.0,yes,yes,cellular,18.0,76.0,1.0,376.0,5.0,success,no
,89366.0,sep,Dana Alvarez DVM,,699-95-2862,management,married,tertiary,no,7075.0,no,no,telephone,30.0,333.0,4.0,5.0,4.0,success,yes
12.0,92589.0,jul,Monica Greene,75.0,479-63-8593,services,single,primary,no,-1641.0,yes,no,unknown,31.0,274.0,9.0,108.0,9.0,success,no
13.0,88977.0,mar,Mrs. Leah Baker,87.0,241-84-9942,entrepreneur,single,secondary,no,12846.0,no,yes,cellular,2.0,424.0,1.0,55.0,7.0,success,no
14.0,64942.0,jul,Michael Shea,53.0,228-02-5398,services,married,secondary,no,-885.0,no,yes,telephone,7.0,494.0,2.0,127.0,1.0,,yes
15.0,93996.0,sep,Desiree Lawson,36.0,843-04-3358,student,married,secondary,no,,no,no,cellular,24.0,478.0,5.0,5.0,5.0,failure,yes
,21815.0,apr,Jessica Collins,47.0,481-12-7303,management,married,secondary,no,7402.0,yes,no,cellular,8.0,308.0,5.0,121.0,5.0,failure,no
17.0,78962.0,nov,Kevin Medina,39.0,207-52-3998,services,married,secondary,no,11504.0,no,no,cellular,30.0,110.0,8.0,176.0,4.0,failure,no
18.0,50501.0,feb,Brian Cooper,87.0,178-30-0137,entrepreneur,married,unknown,no,11375.0,yes,yes,cellular,19.0,233.0,4.0,86.0,6.0,failure,no
19.0,82347.0,jan,Francisco Lawrence,87.0,138-97-7687,management,married,secondary,yes,-565.0,no,no,telephone,2.0,389.0,3.0,373.0,5.0,,no
20.0,19267.0,oct,Vincent Woodward,21.0,608-70-4585,services,single,primary,yes,2997.0,no,no,unknown,2.0,336.0,7.0,276.0,9.0,success,yes
21.0,14683.0,nov,Tamara King,25.0,484-76-5109,unknown,single,secondary,yes,103.0,no,yes,cellular,17.0,244.0,1.0,356.0,7.0,success,no
22.0,45764.0,mar,Laura Thomas,55.0,407-04-4306,services,married,secondary,no,3095.0,no,yes,telephone,15.0,497.0,7.0,234.0,6.0,success,no
23.0,89495.0,sep,Andrew Stanton,67.0,167-86-9424,management,married,secondary,yes,16417.0,yes,yes,telephone,13.0,81.0,8.0,221.0,2.0,unknown,yes
24.0,85042.0,jan,Lisa Bean,45.0,777-43-4119,technician,,primary,no,9836.0,no,no,telephone,13.0,75.0,8.0,297.0,0.0,failure,no
