ID,Customer_ID,Month,Name,Age,SSN,Job,Marital,Education,Default,Balance,Housing,Loan,Contact,Day,Duration,Campaign,Pdays,Previous,Poutcome,Loan_Approval
1.0,35520.0,feb,Sarah Foster,75.0,234-73-0940,self-employed,single,tertiary,no,3659.0,no,no,telephone,11.0,352.0,2.0,221.0,8.0,success,no
2.0,62869.0,apr,Linda Alvarez,41.0,745-71-5045,management,married,secondary,no,-2808.0,yes,yes,telephone,6.0,443.0,8.0,342.0,5.0,failure,no
3.0,49768.0,,Jonathan Pittman,70.0,818-44-6932,technician,married,tertiary,no,,yes,no,telephone,19.0,288.0,9.0,18.0,2.0,failure,no
4.0,21639.0,dec,Gregory Campbell,56.0,200-40-2789,unemployed,single,tertiary,no,14809.0,no,no,cellular,10.0,423.0,7.0,412.0,2.0,success,no
5.0,92218.0,mar,Anthony Thomas,76.0,616-59-2291,housemaid,single,tertiary,no,8768.0,yes,yes,telephone,11.0,94.0,1.0,414.0,6.0,success,yes
6.0,,jan,Willie Phillips,60.0,847-93-0855,student,,tertiary,,-1798.0,no,yes,cellular,13.0,390.0,,296.0,,failure,yes
7.0,79352.0,jan,Jeffrey Hamilton,32.0,667-23-0694,retired,married,secondary,no,15781.0,no,no,cellular,26.0,87.0,1.0,149.0,,success,no
8.0,99199.0,apr,,78.0,179-84-8942,management,single,primary,no,19634.0,yes,no,cellular,24.0,250.0,3.0,465.0,4.0,unknown,no
9.0,30728.0,oct,Stephen Clark,29.0,866-94-5126,retired,married,tertiary,,-1119.0,yes,no,cellular,28.0,,3.0,126.0,8.0,unknown,no
10.0,,,Gregory Morgan,72.0,839-14-4584,retired,single,secondary,no,9769.0,yes,no,cellular,4.0,61.0,6.0,103.0,9.0,unknown,no
11.0,68672.0,sep,Jacob Ballard,19.0,853-84-6225,blue-collar,,primary,yes,5199.0,yes,no,cellular,25.0,128.0,4.0,8.0,1.0,success,no
12.0,,oct,Thomas Wilson,78.0,839-02-4792,,single,,yes,14428.0,no,no,telephone,21.0,,7.0,223.0,,failure,yes
13.0,17901.0,dec,Nicholas Jacobs,83.0,100-76-6937,blue-collar,single,secondary,yes,5059.0,yes,no,telephone,9.0,260.0,1.0,163.0,6.0,success,no
14.0,62774.0,,Gregory Harris,34.0,882-41-5576,unemployed,divorced,secondary,no,2201.0,yes,no,telephone,18.0,404.0,4.0,270.0,8.0,failure,no
15.0,57314.0,dec,,54.0,267-21-8776,unemployed,single,tertiary,no,316.0,yes,yes,telephone,2.0,,8.0,176.0,9.0,success,yes
16.0,17633.0,feb,Jessica Page,57.0,587-55-0972,student,married,,yes,18469.0,yes,no,telephone,,,8.0,34.0,3.0,failure,no
17.0,26218.0,oct,Edwin Johnson,42.0,,,single,primary,yes,,no,yes,telephone,,300.0,3.0,411.0,7.0,success,yes
18.0,34507.0,nov,George Clark,63.0,015-68-5945,admin.,single,secondary,yes,18149.0,yes,no,telephone,7.0,246.0,1.0,24.0,0.0,success,no
,49846.0,nov,Kevin Smith,68.0,433-81-3337,,divorced,tertiary,no,13690.0,no,yes,telephone,19.0,297.0,2.0,43.0,5.0,,yes
20.0,18899.0,dec,Anthony Ali,52.0,669-16-2979,services,single,secondary,no,6230.0,no,yes,cellular,10.0,411.0,7.0,156.0,9.0,failure,no
