ID,Customer_ID,Month,Name,Age,SSN,Job,Marital,Education,Default,Balance,Housing,Loan,Contact,Day,Duration,Campaign,Pdays,Previous,Poutcome,Loan_Approval
1.0,31979.0,feb,Helen Stephenson,26.0,532-54-6319,entrepreneur,married,unknown,no,14783.0,yes,yes,unknown,3.0,448.0,1.0,251.0,6.0,failure,no
2.0,,feb,Joel Huber,77.0,,admin.,,secondary,yes,8572.0,no,yes,cellular,20.0,,5.0,297.0,3.0,success,yes
3.0,68719.0,nov,David Nguyen,57.0,772-35-3618,unknown,single,secondary,no,,no,no,unknown,16.0,98.0,1.0,498.0,,failure,no
4.0,39801.0,feb,Kenneth Hernandez,20.0,776-17-2046,management,divorced,tertiary,no,8984.0,no,yes,telephone,,,5.0,224.0,4.0,failure,no
5.0,83399.0,dec,George Jackson,70.0,100-72-8278,,divorced,tertiary,no,13330.0,yes,no,cellular,31.0,58.0,7.0,201.0,6.0,success,no
6.0,,mar,Colleen Gray,71.0,,unemployed,married,unknown,yes,1315.0,no,no,,4.0,120.0,8.0,114.0,6.0,success,yes
7.0,36665.0,,Melinda Hernandez,47.0,661-88-1190,entrepreneur,married,primary,yes,16374.0,no,yes,telephone,8.0,222.0,7.0,367.0,2.0,success,no
8.0,99693.0,dec,Ralph Chavez,32.0,354-75-6943,,married,unknown,yes,15461.0,no,,unknown,,288.0,,371.0,3.0,success,yes
9.0,82442.0,dec,,32.0,469-91-3027,unemployed,married,secondary,yes,,yes,no,cellular,8.0,225.0,6.0,194.0,3.0,failure,yes
10.0,37470.0,jan,Brooke Hill,52.0,010-11-8427,retired,married,primary,no,19725.0,yes,no,telephone,21.0,203.0,2.0,289.0,7.0,failure,no
11.0,17789.0,mar,Michelle Taylor,33.0,845-67-8534,retired,single,unknown,yes,-3162.0,yes,no,cellular,14.0,365.0,4.0,129.0,5.0,,no
12.0,36106.0,sep,Jade Kane,34.0,370-04-3230,unknown,divorced,secondary,yes,5427.0,no,yes,cellular,19.0,498.0,6.0,457.0,3.0,unknown,no
13.0,55348.0,jul,Mrs. Cassandra Bell,63.0,,entrepreneur,divorced,tertiary,no,3807.0,,yes,unknown,,76.0,6.0,194.0,1.0,failure,yes
14.0,61245.0,jul,Jennifer Barnett,57.0,303-89-2014,unemployed,single,tertiary,,6584.0,yes,no,telephone,3.0,,5.0,403.0,5.0,success,no
15.0,32754.0,apr,Dr. Logan Turner MD,69.0,200-64-7398,unknown,married,secondary,no,-366.0,no,yes,telephone,15.0,211.0,,496.0,0.0,unknown,yes
16.0,43480.0,oct,Christopher Russell,76.0,426-10-9885,student,married,secondary,no,8538.0,yes,yes,unknown,17.0,121.0,5.0,459.0,1.0,unknown,yes
17.0,98625.0,feb,David Larson,25.0,,unemployed,married,secondary,no,9410.0,no,no,unknown,16.0,,,210.0,6.0,failure,yes
18.0,84904.0,nov,Craig Martin,38.0,485-95-2498,unemployed,single,,yes,18390.0,no,,cellular,2.0,198.0,3.0,49.0,8.0,unknown,yes
19.0,27432.0,jun,Jason Smith,66.0,480-85-4238,admin.,divorced,tertiary,yes,3683.0,no,yes,,11.0,,4.0,393.0,,unknown,no
20.0,50697.0,may,Erin Reynolds,39.0,336-29-4373,management,divorced,primary,no,8960.0,no,yes,cellular,6.0,114.0,6.0,293.0,,success,no
21.0,44743.0,aug,Thomas Rush,76.0,834-71-4632,blue-collar,divorced,unknown,yes,,yes,no,telephone,4.0,5321.0,60.0,,9.0,,yes
22.0,71902.0,jun,Anthony Stanton,29.0,,retired,married,primary,no,,,yes,unknown,31.0,116.0,8.0,185.0,5.0,success,no
23.0,45416.0,jan,Michele Powell,72.0,697-56-6855,,divorced,tertiary,no,5681.0,,no,cellular,8.0,471.0,3.0,118.0,1.0,success,yes
24.0,,oct,,74.0,820-96-1555,unemployed,married,primary,yes,9256.0,no,yes,unknown,24.0,401.0,6.0,82.0,4.0,unknown,yes
25.0,75618.0,may,,59.0,124-70-4242,blue-collar,single,primary,yes,19671.0,yes,yes,telephone,,446.0,,74.0,3.0,failure,no
26.0,,apr,Brittany Jones DDS,56.0,100-28-7343,student,divorced,primary,,104880.0,no,no,,28.0,7718.0,36.0,7050.0,9.0,failure,no
27.0,35371.0,jul,Kathryn Robinson,44.0,032-04-2600,admin.,divorced,primary,no,13742.0,no,,,31.0,172.0,1.0,112.0,1.0,failure,yes
,,jul,David Martinez,75.0,873-23-1371,retired,divorced,primary,yes,3353.0,no,no,cellular,16.0,160.0,1.0,,7.0,unknown,no
29.0,45830.0,sep,Anita Smith,30.0,796-12-7917,unknown,single,primary,no,16124.0,no,yes,,23.0,102.0,9.0,240.0,8.0,failure,yes
30.0,,oct,Stephen Pham,51.0,009-35-0438,unemployed,married,secondary,yes,,yes,no,telephone,22.0,330.0,3.0,119.0,6.0,unknown,yes
31.0,96343.0,apr,Steve Bass,46.0,003-95-5205,retired,single,unknown,no,9162.0,no,yes,cellular,22.0,297.0,2.0,176.0,3.0,failure,yes
32.0,78488.0,jan,David Hicks,71.0,,entrepreneur,married,unknown,yes,,yes,yes,telephone,23.0,,7.0,303.0,1.0,,yes
33.0,50560.0,mar,Cameron Christian,53.0,,,divorced,secondary,yes,314688.0,yes,yes,telephone,1.0,5508.0,48.0,465.0,7.0,failure,no
,,,Rebekah Bowers,73.0,685-65-6781,retired,,unknown,yes,11161.0,yes,yes,telephone,22.0,432.0,5.0,197.0,5.0,failure,no
35.0,21801.0,jan,Juan Clark,22.0,519-68-5137,unknown,divorced,tertiary,no,21952.0,no,no,unknown,20.0,5406.0,96.0,1245.0,9.0,failure,
36.0,38294.0,jun,Craig Baker,63.0,173-03-7799,unemployed,,secondary,yes,13247.0,yes,yes,telephone,23.0,345.0,2.0,228.0,3.0,unknown,no
37.0,23714.0,nov,Donna Berg,27.0,701-01-5530,technician,divorced,secondary,no,11551.0,no,no,unknown,3.0,290.0,4.0,88.0,1.0,success,no
38.0,13479.0,dec,Paul Chavez,65.0,475-15-3540,unemployed,single,primary,yes,3712.0,yes,no,unknown,28.0,400.0,9.0,444.0,0.0,unknown,no
39.0,31613.0,may,Chad George,42.0,199-94-7457,blue-collar,single,unknown,yes,7121.0,no,yes,,12.0,478.0,6.0,186.0,9.0,unknown,yes
