ID,Customer_ID,Month,Name,Age,SSN,Job,Marital,Education,Default,Balance,Housing,Loan,Contact,Day,Duration,Campaign,Pdays,Previous,Poutcome,Loan_Approval
1.0,29261.0,mar,Vincent Hoffman,76.0,132-60-7401,services,divorced,tertiary,,19839.0,no,yes,cellular,5.0,52.0,7.0,486.0,8.0,success,yes
2.0,34026.0,may,William Estes,48.0,806-40-6590,technician,divorced,secondary,yes,10341.0,yes,no,telephone,19.0,290.0,2.0,332.0,8.0,success,no
3.0,67757.0,feb,Jennifer Juarez,57.0,747-68-3316,blue-collar,married,tertiary,yes,13409.0,yes,yes,,17.0,103.0,8.0,90.0,3.0,failure,no
4.0,68878.0,jan,Jill Adkins,55.0,857-91-8948,unknown,married,secondary,no,16761.0,no,yes,cellular,16.0,267.0,4.0,491.0,9.0,success,no
5.0,81277.0,nov,John Taylor,20.0,699-86-0892,services,married,primary,yes,11478.0,no,yes,cellular,17.0,147.0,6.0,68.0,9.0,success,yes
6.0,74873.0,jan,John Hunt,73.0,465-08-0122,services,married,tertiary,no,8292.0,yes,no,telephone,14.0,149.0,9.0,213.0,8.0,success,yes
7.0,25491.0,,Nathaniel Pittman,77.0,823-30-3092,blue-collar,single,tertiary,yes,,yes,yes,cellular,3.0,3040.0,68.0,14.0,,success,no
8.0,95372.0,mar,John Hicks,67.0,281-35-2223,services,married,secondary,yes,-1775.0,yes,yes,cellular,15.0,194.0,1.0,398.0,6.0,success,no
9.0,92275.0,jan,Mark Morrow,48.0,715-44-0973,retired,single,tertiary,no,9162.0,yes,yes,telephone,23.0,309.0,7.0,114.0,7.0,failure,yes
10.0,51299.0,feb,Michael Trevino,34.0,804-30-0626,management,married,secondary,no,-45.0,yes,yes,,5.0,458.0,8.0,229.0,3.0,failure,no
11.0,,mar,Hannah Mitchell,26.0,037-29-9667,unknown,,secondary,yes,1799.0,no,yes,cellular,4.0,473.0,9.0,255.0,7.0,success,no
12.0,52146.0,may,Seth Williams,,610-92-9482,management,married,tertiary,yes,786.0,no,no,telephone,18.0,54.0,9.0,488.0,7.0,success,yes
13.0,,,Alex Johnson,59.0,292-95-4244,self-employed,divorced,secondary,no,8305.0,no,yes,telephone,19.0,486.0,4.0,483.0,5.0,success,no
14.0,10802.0,mar,Kathryn Morrow,75.0,435-45-0144,,single,secondary,no,-2051.0,yes,no,cellular,20.0,256.0,7.0,406.0,0.0,success,no
15.0,98094.0,dec,Sherri King,31.0,218-02-4730,unknown,single,tertiary,no,19089.0,yes,no,,30.0,450.0,4.0,415.0,7.0,failure,no
16.0,32400.0,may,Kenneth Lucero,40.0,101-71-5829,self-employed,divorced,secondary,no,5244.0,no,no,cellular,1.0,359.0,9.0,458.0,5.0,success,yes
17.0,76779.0,feb,Katelyn Hale,84.0,142-39-0932,management,married,secondary,yes,41538.0,yes,no,cellular,26.0,4000.0,102.0,3948.0,9.0,success,no
18.0,59534.0,apr,Marie Webb,83.0,334-18-7258,blue-collar,married,primary,yes,-1963.0,no,no,cellular,21.0,88.0,5.0,365.0,5.0,success,no
19.0,39618.0,jul,Lauren Norris,27.0,891-24-5128,technician,single,secondary,no,1184.0,yes,yes,telephone,20.0,323.0,3.0,134.0,,success,yes
20.0,54432.0,aug,Anna Daugherty,37.0,014-69-9990,unknown,,primary,yes,2998.0,no,yes,cellular,9.0,347.0,6.0,374.0,0.0,success,no
21.0,90135.0,mar,Samuel Johnson,50.0,489-43-4529,unemployed,single,secondary,no,2842.0,yes,yes,cellular,4.0,66.0,5.0,442.0,2.0,unknown,no
,21430.0,dec,Jason Francis,73.0,790-44-4440,services,married,primary,no,6104.0,yes,yes,cellular,9.0,434.0,9.0,482.0,4.0,success,yes
23.0,62377.0,mar,Cameron Lopez,39.0,286-19-8501,management,married,tertiary,yes,14311.0,yes,yes,telephone,8.0,391.0,7.0,294.0,8.0,success,no
24.0,57390.0,jul,Anthony Ford,84.0,501-96-2563,admin.,married,secondary,yes,-152.0,yes,yes,,31.0,131.0,1.0,303.0,6.0,failure,no
25.0,59204.0,nov,Phillip Moore,36.0,844-27-8854,management,married,primary,no,16241.0,yes,yes,telephone,22.0,424.0,5.0,421.0,7.0,success,yes
26.0,30565.0,,Susan Lowery,53.0,413-47-2525,self-employed,single,secondary,no,9502.0,no,yes,,6.0,291.0,3.0,494.0,4.0,success,no
27.0,95657.0,jan,Rachel Anderson,42.0,,management,married,primary,yes,8887.0,yes,yes,cellular,30.0,186.0,4.0,291.0,1.0,success,no
28.0,74996.0,oct,John Pace,31.0,815-67-0474,services,single,primary,no,10173.0,yes,yes,telephone,7.0,189.0,7.0,421.0,7.0,success,yes
29.0,86972.0,aug,Jennifer Williams MD,27.0,768-83-4337,management,married,unknown,no,17133.0,no,yes,cellular,18.0,190.0,9.0,380.0,1.0,success,no
30.0,89694.0,jun,Frank Garcia,73.0,153-36-3834,technician,single,unknown,no,11208.0,no,no,cellular,14.0,375.0,,362.0,8.0,success,no
31.0,83416.0,sep,Casey Cline,61.0,485-45-0413,blue-collar,single,secondary,yes,4725.0,no,yes,cellular,15.0,302.0,8.0,55.0,1.0,failure,yes
32.0,10550.0,apr,Teresa Robinson,20.0,312-68-9385,blue-collar,married,tertiary,no,18547.0,yes,yes,cellular,22.0,,7.0,60.0,4.0,success,no
33.0,91514.0,jul,Richard Watkins,68.0,680-43-3182,services,married,secondary,no,14078.0,yes,no,telephone,11.0,312.0,1.0,21.0,3.0,success,no
34.0,50232.0,nov,,38.0,669-14-8649,services,single,tertiary,no,,yes,yes,cellular,15.0,122.0,6.0,218.0,8.0,success,yes
35.0,93992.0,aug,Misty Allen,36.0,822-20-1220,services,married,tertiary,,13028.0,no,no,cellular,13.0,92.0,9.0,498.0,3.0,success,no
36.0,26630.0,may,John Smith,73.0,,blue-collar,single,primary,no,13404.0,yes,yes,cellular,8.0,215.0,8.0,397.0,6.0,success,no
37.0,58409.0,jan,David Gutierrez,57.0,592-19-3274,self-employed,married,tertiary,no,,no,yes,cellular,30.0,3200.0,51.0,1232.0,6.0,success,no
38.0,97298.0,oct,Jeremy Sheppard,20.0,557-31-5019,blue-collar,divorced,tertiary,no,11573.0,yes,yes,cellular,5.0,93.0,2.0,7.0,8.0,success,
39.0,60485.0,jan,Christopher Mccoy,37.0,432-24-4747,retired,single,primary,no,208404.0,yes,yes,cellular,2.0,3430.0,51.0,6510.0,5.0,success,no
40.0,86158.0,feb,Elizabeth Salas,84.0,783-06-6840,blue-collar,single,tertiary,no,15192.0,yes,yes,cellular,19.0,197.0,4.0,264.0,0.0,unknown,no
41.0,63917.0,nov,Benjamin Davidson,24.0,883-10-1686,blue-collar,married,secondary,no,16475.0,yes,yes,telephone,30.0,277.0,3.0,126.0,5.0,success,yes
42.0,58015.0,sep,Ariel Myers,78.0,565-60-7611,management,married,primary,no,6355.0,yes,no,,9.0,91.0,2.0,356.0,6.0,failure,yes
43.0,48587.0,oct,Richard Martinez,,212-35-5116,entrepreneur,divorced,secondary,no,8937.0,no,yes,telephone,3.0,165.0,7.0,,9.0,failure,yes
44.0,40286.0,oct,Andrew Perez,84.0,885-47-9366,services,single,primary,no,8007.0,yes,no,cellular,4.0,237.0,4.0,421.0,4.0,success,no
45.0,70655.0,nov,Dennis Harris,28.0,593-62-7602,entrepreneur,married,secondary,yes,2500.0,yes,no,cellular,4.0,423.0,9.0,307.0,8.0,failure,
