ID,Customer_ID,Month,Name,Age,SSN,Job,Marital,Education,Default,Balance,Housing,Loan,Contact,Day,Duration,Campaign,Pdays,Previous,Poutcome,Loan_Approval
1.0,65136.0,,Karen Hunt,38.0,605-59-7680,blue-collar,divorced,secondary,no,15047.0,no,no,cellular,14.0,434.0,8.0,426.0,9.0,unknown,yes
,69082.0,apr,Edward Kaufman,23.0,,self-employed,,primary,,11622.0,no,no,unknown,,234.0,3.0,251.0,2.0,failure,yes
3.0,70753.0,may,Paul Harris,49.0,161-53-7220,self-employed,married,secondary,yes,3273.0,no,yes,unknown,11.0,,1.0,,6.0,unknown,no
4.0,55614.0,sep,Miss Maria Schroeder,56.0,108-85-8224,unemployed,married,tertiary,yes,16803.0,,yes,telephone,16.0,279.0,6.0,313.0,2.0,success,
5.0,54035.0,may,Michelle Ramirez,55.0,392-37-7084,self-employed,married,primary,no,7351.0,,yes,telephone,21.0,158.0,3.0,497.0,1.0,failure,
6.0,39470.0,,Christina Jones,63.0,519-12-4989,technician,single,primary,yes,12910.0,no,yes,telephone,20.0,61.0,8.0,106.0,0.0,failure,yes
7.0,98432.0,feb,Micheal Edwards,73.0,057-19-6918,unemployed,married,secondary,yes,923.0,yes,,telephone,,,4.0,,7.0,failure,no
8.0,21745.0,apr,Catherine Garrett,68.0,301-26-8778,student,divorced,secondary,yes,502.0,yes,yes,telephone,10.0,64.0,3.0,97.0,9.0,success,no
9.0,91518.0,jun,Michael Larson,40.0,694-02-5382,self-employed,married,,yes,-9646.0,no,yes,telephone,3.0,5796.0,,3363.0,1.0,failure,yes
10.0,26787.0,,Maria Bentley,24.0,056-69-0301,unemployed,single,primary,no,9992.0,yes,yes,unknown,16.0,65.0,2.0,124.0,2.0,success,no
11.0,81418.0,mar,Kimberly Pruitt,56.0,727-22-8545,unemployed,married,unknown,yes,3626.0,no,no,unknown,1.0,121.0,5.0,86.0,2.0,success,no
,10654.0,dec,Christina Smith,78.0,566-03-0038,unknown,,unknown,no,4722.0,yes,no,cellular,10.0,485.0,8.0,421.0,5.0,failure,no
13.0,71560.0,aug,Susan Russell,39.0,712-26-8538,blue-collar,married,unknown,no,19736.0,yes,yes,cellular,17.0,148.0,9.0,435.0,3.0,unknown,yes
14.0,53830.0,mar,Judy Garcia,,578-19-4946,admin.,single,tertiary,no,,yes,yes,cellular,24.0,276.0,,253.0,7.0,unknown,yes
,,apr,Meghan Montes,54.0,216-11-8470,,married,unknown,,1637.0,yes,no,cellular,4.0,176.0,,430.0,3.0,failure,no
16.0,43940.0,may,Elizabeth Schneider,,295-06-8618,retired,single,tertiary,,9104.0,no,yes,cellular,4.0,157.0,8.0,204.0,2.0,failure,no
,38883.0,dec,Mrs. Katrina Garcia MD,50.0,435-15-1471,admin.,single,secondary,no,4028.0,no,yes,cellular,,438.0,3.0,,4.0,failure,no
18.0,55278.0,oct,Danielle Stewart,21.0,580-17-7877,housemaid,single,unknown,no,4656.0,no,no,telephone,16.0,191.0,3.0,410.0,4.0,failure,yes
19.0,76300.0,,Brandon Hartman,20.0,,entrepreneur,married,primary,no,-2630.0,yes,yes,unknown,27.0,489.0,9.0,167.0,,,no
20.0,30302.0,nov,Kristen Figueroa,79.0,147-95-3031,admin.,single,unknown,yes,9100.0,yes,no,unknown,19.0,452.0,7.0,396.0,1.0,unknown,yes
21.0,80814.0,oct,Kim Lewis,31.0,570-17-6792,unemployed,married,secondary,yes,,yes,yes,unknown,2.0,349.0,7.0,348.0,4.0,failure,yes
,90840.0,apr,,81.0,820-87-1414,student,divorced,primary,yes,19574.0,yes,yes,cellular,,385.0,1.0,156.0,0.0,success,yes
23.0,42155.0,jun,Keith Dodson,77.0,,unknown,married,unknown,no,15756.0,no,yes,unknown,25.0,248.0,8.0,436.0,1.0,,yes
24.0,70928.0,may,Mary Evans,74.0,585-92-1789,blue-collar,,unknown,yes,,yes,no,cellular,31.0,190.0,6.0,133.0,5.0,success,yes
25.0,70170.0,jun,Christopher Sullivan,62.0,362-83-2497,,divorced,unknown,yes,,no,no,telephone,5.0,425.0,,124.0,6.0,success,
26.0,12607.0,apr,William Turner,27.0,,student,single,secondary,no,12638.0,yes,no,unknown,26.0,291.0,6.0,404.0,,success,
27.0,92825.0,jun,Jason Thomas,40.0,509-09-4033,blue-collar,divorced,,yes,18960.0,no,yes,,,215.0,7.0,66.0,0.0,unknown,yes
28.0,76736.0,oct,,50.0,887-99-8283,,single,primary,yes,-3255.0,yes,no,cellular,6.0,,1.0,105.0,1.0,success,yes
29.0,51967.0,,Adrienne Walker,74.0,613-62-3777,services,,secondary,yes,17419.0,yes,no,,6.0,,3.0,129.0,8.0,failure,yes
30.0,20555.0,nov,Ruben Brown MD,36.0,635-94-0034,technician,single,tertiary,no,10202.0,no,yes,unknown,28.0,272.0,7.0,201.0,,failure,no
31.0,74785.0,jul,Joshua Scott,77.0,,retired,,primary,no,17667.0,no,no,unknown,8.0,84.0,7.0,403.0,8.0,unknown,yes
32.0,62484.0,dec,Jennifer King,37.0,115-50-0748,self-employed,single,tertiary,,13163.0,yes,no,,23.0,216.0,5.0,497.0,2.0,failure,no
33.0,14008.0,,Andre Evans,26.0,364-50-4219,student,married,primary,no,-643.0,no,no,cellular,6.0,460.0,1.0,28.0,6.0,unknown,no
34.0,72871.0,nov,Jonathan Mann,25.0,729-93-9497,entrepreneur,married,secondary,yes,-1710.0,no,no,cellular,31.0,404.0,6.0,482.0,5.0,unknown,yes
35.0,24378.0,aug,Edward Beck,20.0,179-66-6337,unemployed,,unknown,yes,-3183.0,no,yes,cellular,10.0,427.0,6.0,,9.0,unknown,no
36.0,44685.0,dec,Christopher Rowe,37.0,786-35-1712,blue-collar,divorced,unknown,yes,19731.0,yes,yes,cellular,30.0,98.0,6.0,21.0,2.0,,no
37.0,86989.0,apr,Mitchell Zuniga,72.0,329-54-4085,services,single,secondary,yes,12058.0,yes,no,unknown,26.0,89.0,6.0,445.0,8.0,unknown,no
38.0,,sep,Daniel Gomez,51.0,319-70-7481,entrepreneur,married,unknown,no,18172.0,yes,no,telephone,,95.0,8.0,,2.0,failure,yes
39.0,30743.0,sep,Alisha Taylor,55.0,296-13-4676,blue-collar,divorced,secondary,no,1555.0,yes,,cellular,17.0,187.0,2.0,457.0,4.0,success,no
40.0,46220.0,dec,Brittany Payne,67.0,148-23-2289,technician,divorced,secondary,no,,no,yes,cellular,7.0,265.0,3.0,275.0,2.0,failure,yes
41.0,91892.0,dec,Theresa Lowery,33.0,836-92-8291,housemaid,divorced,primary,yes,-2981.0,no,no,,,473.0,1.0,160.0,1.0,unknown,yes
42.0,21316.0,apr,Chad Williams,30.0,267-99-8337,technician,divorced,,yes,13762.0,yes,,cellular,22.0,,4.0,52.0,8.0,unknown,yes
43.0,47486.0,,Samuel Jackson,63.0,495-32-9568,management,single,primary,yes,3758.0,no,no,cellular,29.0,238.0,3.0,110.0,0.0,unknown,yes
44.0,65984.0,feb,Christine Garcia,56.0,,self-employed,,secondary,no,12750.0,yes,yes,cellular,4.0,352.0,9.0,165.0,7.0,success,no
45.0,43716.0,feb,,81.0,679-74-8814,retired,married,primary,no,2895.0,,yes,cellular,12.0,355.0,,233.0,4.0,,no
46.0,24940.0,mar,Penny Kramer,62.0,546-25-0929,management,married,primary,no,,yes,no,cellular,23.0,361.0,6.0,106.0,6.0,success,no
47.0,46965.0,feb,Holly Green,55.0,350-71-2738,unknown,divorced,primary,no,,yes,no,cellular,19.0,422.0,6.0,486.0,8.0,failure,yes
48.0,73142.0,jun,Scott Cherry,36.0,654-33-3703,technician,single,secondary,no,15870.0,no,yes,cellular,19.0,163.0,1.0,167.0,5.0,failure,yes
49.0,81900.0,may,Gabrielle Ruiz,54.0,300-85-6780,entrepreneur,,primary,yes,7765.0,,,unknown,22.0,,4.0,101.0,2.0,unknown,
50.0,92858.0,nov,Bradley Sanchez,39.0,615-34-6412,housemaid,married,,,1857.0,no,no,cellular,,322.0,7.0,322.0,7.0,unknown,yes
51.0,71831.0,jul,Kevin Moore,61.0,513-92-6095,unemployed,married,primary,no,3448.0,no,yes,cellular,20.0,264.0,7.0,424.0,6.0,success,no
52.0,63058.0,jul,Beverly White,80.0,,unemployed,married,tertiary,no,16116.0,,yes,cellular,,383.0,3.0,340.0,3.0,,no
53.0,13664.0,may,Claudia Franklin,56.0,761-78-9977,admin.,single,unknown,no,10546.0,no,no,unknown,25.0,278.0,9.0,457.0,0.0,failure,yes
54.0,53453.0,dec,,31.0,190-08-5864,blue-collar,,,no,14334.0,yes,no,cellular,16.0,233.0,,18.0,0.0,,yes
,,nov,Michelle Ray,32.0,487-90-1945,unknown,divorced,secondary,yes,18751.0,yes,yes,unknown,30.0,101.0,6.0,416.0,5.0,success,yes
56.0,88632.0,,Dale Garrett,69.0,358-67-3472,self-employed,married,,yes,5380.0,no,no,cellular,,214.0,8.0,99.0,0.0,unknown,no
,13825.0,jul,Connie Williams,38.0,806-09-6651,management,divorced,tertiary,yes,6407.0,no,no,telephone,,438.0,,316.0,9.0,,no
58.0,21342.0,feb,Mark Doyle,54.0,815-48-5878,management,married,tertiary,yes,146188.0,yes,yes,unknown,19.0,1920.0,64.0,9025.0,4.0,unknown,yes
59.0,54310.0,aug,Andrew Lee,34.0,,admin.,,,no,,,,telephone,23.0,167.0,1.0,368.0,8.0,,yes
60.0,37632.0,jun,Matthew Duran,81.0,283-62-0040,blue-collar,divorced,unknown,no,5110.0,no,yes,cellular,12.0,309.0,7.0,248.0,0.0,success,yes
61.0,27803.0,nov,Sarah Hughes,87.0,864-51-6101,housemaid,married,unknown,no,18568.0,yes,no,cellular,19.0,369.0,2.0,96.0,6.0,unknown,yes
62.0,49277.0,apr,Bobby Anderson,62.0,389-23-0352,,married,unknown,,16573.0,no,yes,unknown,22.0,320.0,,48.0,7.0,failure,yes
63.0,81306.0,jul,Ronald Hernandez,84.0,032-56-9791,housemaid,divorced,secondary,no,,,,unknown,20.0,427.0,7.0,252.0,8.0,unknown,no
64.0,87971.0,dec,Nicholas Montgomery,80.0,683-90-7016,unknown,married,tertiary,no,1124.0,no,,cellular,6.0,368.0,,76.0,9.0,unknown,no
65.0,97767.0,aug,David Reyes,28.0,363-39-7975,admin.,divorced,unknown,yes,16175.0,no,yes,,26.0,234.0,7.0,359.0,1.0,unknown,no
66.0,99998.0,jul,Russell Hill,41.0,,admin.,married,primary,no,13467.0,yes,yes,telephone,29.0,401.0,8.0,276.0,2.0,unknown,yes
67.0,77674.0,dec,,47.0,418-68-8027,unemployed,married,primary,yes,15888.0,yes,yes,unknown,15.0,238.0,3.0,168.0,6.0,success,yes
68.0,54296.0,,Renee Schmitt,52.0,152-62-5241,services,,unknown,yes,19550.0,no,yes,cellular,25.0,460.0,4.0,472.0,6.0,success,yes
69.0,92910.0,mar,,26.0,046-37-6309,blue-collar,divorced,primary,yes,3734.0,yes,,cellular,13.0,296.0,4.0,430.0,2.0,unknown,yes
70.0,46796.0,feb,Michael Guzman,43.0,598-28-6456,unknown,divorced,tertiary,yes,,yes,yes,telephone,25.0,456.0,1.0,488.0,7.0,,
71.0,44344.0,jul,Kyle Brown,78.0,014-06-4602,retired,single,unknown,no,,yes,no,telephone,,460.0,6.0,464.0,3.0,failure,yes
72.0,91891.0,mar,Darren Greene,48.0,020-29-4293,entrepreneur,divorced,unknown,yes,18905.0,yes,,telephone,24.0,215.0,6.0,390.0,,failure,no
73.0,74494.0,aug,Keith Grimes MD,21.0,392-85-6697,self-employed,single,primary,no,5505.0,yes,yes,cellular,20.0,172.0,,,2.0,unknown,no
,91296.0,sep,Charlene Smith,30.0,010-06-0757,retired,single,secondary,yes,16620.0,,yes,cellular,27.0,321.0,9.0,123.0,4.0,success,no
75.0,52731.0,dec,Christian Mckenzie,35.0,436-68-7468,entrepreneur,divorced,secondary,no,,yes,yes,cellular,29.0,5976.0,96.0,494.0,2.0,,no
76.0,74255.0,oct,James Tran,33.0,383-17-1174,admin.,single,secondary,no,7631.0,yes,yes,cellular,22.0,261.0,4.0,214.0,2.0,failure,yes
77.0,81632.0,feb,Sara Jacobs,26.0,352-55-2273,student,married,primary,,53228.0,no,yes,cellular,29.0,1536.0,64.0,6669.0,1.0,failure,no
78.0,60572.0,mar,,46.0,038-16-4465,entrepreneur,single,tertiary,no,8454.0,yes,yes,cellular,2.0,378.0,4.0,96.0,,success,no
79.0,41402.0,mar,Michael Hill,,431-34-3994,services,single,secondary,no,15121.0,yes,yes,telephone,30.0,402.0,2.0,79.0,8.0,,yes
80.0,85197.0,apr,Ms. Sarah Jefferson,70.0,308-01-6094,housemaid,divorced,tertiary,no,16204.0,,,cellular,12.0,491.0,1.0,246.0,4.0,success,yes
81.0,10265.0,sep,Brooke Golden,48.0,102-62-8511,services,,,no,19021.0,yes,yes,cellular,17.0,228.0,6.0,108.0,3.0,failure,yes
82.0,13552.0,may,Nathan Mosley,,749-26-1946,services,married,tertiary,no,1058.0,,yes,cellular,17.0,93.0,9.0,401.0,0.0,failure,no
83.0,88453.0,mar,Andres Jones,67.0,871-76-5433,,married,primary,yes,8076.0,yes,no,telephone,31.0,,6.0,308.0,0.0,,yes
84.0,,,Richard Jones,66.0,883-79-4880,blue-collar,single,primary,no,72870.0,no,yes,unknown,19.0,924.0,16.0,6251.0,2.0,unknown,no
85.0,33985.0,,Travis Davies,,777-22-4966,services,married,unknown,yes,3573.0,,yes,cellular,12.0,105.0,6.0,446.0,1.0,unknown,yes
86.0,75755.0,jun,,64.0,,unemployed,divorced,primary,yes,4609.0,no,no,,5.0,340.0,6.0,,4.0,success,no
87.0,13066.0,apr,,28.0,600-14-3450,student,married,primary,no,235158.0,yes,no,unknown,27.0,4512.0,32.0,6061.0,8.0,success,yes
88.0,61016.0,feb,Jeffrey Jones,87.0,463-90-0183,admin.,divorced,secondary,no,8887.0,no,yes,,9.0,378.0,6.0,325.0,0.0,success,yes
89.0,48014.0,dec,Robin Cooper,57.0,349-25-1486,retired,divorced,unknown,no,7585.0,,no,cellular,29.0,,,,4.0,success,
90.0,22463.0,nov,Mitchell Hicks,37.0,133-96-5360,unknown,single,tertiary,yes,16209.0,,,telephone,17.0,126.0,1.0,446.0,0.0,unknown,yes
